Generation,Best Fitness,Avg Fitness,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,104528279219272.0,17372002045150.262,1941,61,160,178,130,5,25
1,51982892330115.15,10123635051092.295,1928,76,168,176,119,8,25
2,42311256620180.21,12395129755706.537,1917,72,167,182,124,12,26
3,58480833838732.55,18941420296497.855,1904,82,179,176,113,12,34
4,43343594558915.97,21013134555986.387,1897,80,171,171,124,13,44
5,1060044946676786.6,133044091761158.05,1838,87,194,181,134,24,42
6,113358148621049.61,43295686125609.36,1813,91,194,185,137,26,54
7,189534526037746.5,67814728705842.92,1831,95,184,174,135,32,49
8,236041971738566.7,81027038590451.73,1828,96,188,174,134,29,51
9,195071478523584.56,92478292782758.67,1817,97,185,176,139,33,53
10,317223181092152.1,140639005445360.34,1797,93,187,178,142,43,60
11,177614548663956.22,97659632881801.03,1783,97,190,177,146,45,62
12,216343637922450.3,119401170250476.08,1776,98,190,176,151,44,65
13,257919271864264.7,158215381341655.06,1763,100,191,184,154,44,64
14,301287293625561.1,203096548232566.78,1740,108,191,185,148,55,73
15,531767563100189.5,286665199550036.1,1730,106,196,187,146,56,79
16,531876276358652.9,286638463123932.2,1723,105,199,187,150,58,78
17,408534071400924.6,255066314242657.84,1718,109,196,190,144,62,81
18,573240940741503.2,302493853758035.9,1703,108,200,186,159,64,80
19,569341649224389.0,273036677437125.06,1686,113,182,195,156,69,99
