Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,137,31075,1163,1500,3415,2385,462,0
0,138,31069,1160,1496,3417,2390,468,0
0,139,31077,1158,1493,3423,2377,472,0
0,140,31068,1157,1487,3433,2385,470,0
0,141,31055,1158,1483,3446,2387,471,0
0,142,31043,1155,1481,3447,2398,476,0
0,143,31017,1156,1473,3449,2428,477,0
0,144,31035,1149,1470,3449,2417,480,0
0,145,31034,1149,1468,3456,2411,482,0
0,146,31009,1147,1468,3464,2427,485,0
0,147,31014,1145,1465,3462,2427,487,0
0,148,31018,1140,1460,3469,2423,490,0
0,149,30991,1139,1453,3468,2457,492,0
0,150,30971,1134,1449,3468,2487,491,0
0,151,30981,1132,1446,3469,2480,492,0
0,152,30977,1130,1445,3472,2481,495,0
0,153,30970,1128,1442,3478,2485,497,0
0,154,30961,1122,1443,3488,2486,500,0
0,155,30942,1122,1435,3497,2505,499,0
0,156,30914,1118,1434,3511,2522,501,0
0,157,30904,1118,1430,3525,2520,503,0
0,158,30903,1113,1430,3528,2521,505,0
0,159,30895,1114,1426,3535,2523,507,0
0,160,30879,1113,1422,3551,2524,511,0
0,161,30862,1112,1418,3569,2524,515,0
0,162,30841,1109,1415,3581,2537,517,0
0,163,30830,1106,1412,3590,2541,521,0
0,164,30825,1104,1412,3597,2540,522,0
0,165,30820,1103,1411,3604,2538,524,0
0,166,30793,1104,1412,3618,2548,525,0
0,167,30788,1104,1413,3630,2538,527,0
0,168,30797,1104,1410,3638,2515,536,0
0,169,30793,1102,1403,3651,2510,541,0
0,170,30770,1101,1400,3660,2525,544,0
0,171,30764,1099,1398,3672,2520,547,0
0,172,30772,1095,1395,3685,2502,551,0
0,173,30748,1094,1394,3686,2528,550,0
0,174,30724,1094,1392,3686,2551,553,0
0,175,30692,1088,1389,3702,2572,557,0
0,176,30674,1087,1390,3712,2570,567,0
0,177,30662,1082,1392,3722,2573,569,0
0,178,30666,1082,1386,3732,2556,578,0
0,179,30665,1082,1385,3729,2559,580,0
0,180,30641,1079,1383,3746,2570,581,0
0,181,30624,1077,1384,3754,2577,584,0
0,182,30629,1076,1379,3777,2548,591,0
0,183,30642,1076,1373,3785,2529,595,0
0,184,30639,1074,1373,3792,2526,596,0
0,185,30626,1067,1373,3796,2536,602,0
0,186,30631,1069,1371,3795,2531,603,0
0,187,30638,1067,1367,3798,2525,605,0
0,188,30625,1065,1366,3811,2521,612,0
0,189,30604,1064,1360,3827,2530,615,0
0,190,30599,1059,1358,3834,2532,618,0
0,191,30594,1060,1353,3838,2535,620,0
0,192,30593,1058,1350,3855,2519,625,0
0,193,30592,1053,1350,3863,2511,631,0
0,194,30609,1049,1349,3862,2494,637,0
0,195,30606,1046,1344,3878,2488,638,0
0,196,30605,1044,1343,3879,2485,644,0
0,197,30576,1039,1344,3890,2496,655,0
0,198,30587,1038,1341,3899,2477,658,0
0,199,30594,1035,1339,3903,2464,665,0
0,200,30618,1034,1339,3905,2437,667,0
0,201,30617,1033,1339,3913,2424,674,0
0,202,30622,1032,1335,3912,2421,678,0
0,203,30626,1030,1333,3915,2413,683,0
0,204,30615,1023,1334,3917,2422,689,0
0,205,30604,1020,1334,3918,2434,690,0
0,206,30611,1017,1334,3924,2422,692,0
0,207,30605,1016,1331,3935,2420,693,0
0,208,30608,1014,1328,3940,2416,694,0
0,209,30620,1012,1329,3947,2394,698,0
0,210,30628,1012,1330,3955,2368,707,0
0,211,30615,1009,1328,3970,2358,720,0
0,212,30611,1005,1328,3976,2355,725,0
0,213,30609,1003,1334,3973,2352,729,0
0,214,30612,1007,1326,3981,2345,729,0
0,215,30624,1003,1324,3986,2332,731,0
0,216,30607,996,1321,3990,2350,736,0
0,217,30611,993,1318,3994,2340,744,0
0,218,30622,986,1319,3997,2320,756,0
0,219,30625,982,1317,4001,2318,757,0
0,220,30630,980,1317,4008,2302,763,0
0,221,30593,978,1315,4018,2330,766,0
0,222,30579,976,1315,4022,2338,770,0
0,223,30546,976,1311,4037,2354,776,0
0,224,30491,972,1309,4051,2393,784,0
0,225,30489,969,1309,4061,2384,788,0
0,226,30473,964,1312,4060,2394,797,0
0,227,30473,965,1310,4065,2386,801,0
0,228,30449,965,1308,4073,2399,806,0
0,229,30445,966,1309,4086,2381,813,0
0,230,30464,965,1306,4084,2359,822,0
0,231,30457,963,1306,4092,2359,823,0
0,232,30467,961,1304,4103,2336,829,0
0,233,30475,959,1302,4113,2319,832,0
0,234,30494,957,1301,4107,2304,837,0
0,235,30468,956,1304,4117,2310,845,0
0,236,30444,957,1300,4131,2323,845,0
0,237,30437,957,1299,4136,2320,851,0
0,238,30426,956,1299,4147,2316,856,0
0,239,30416,958,1295,4156,2311,864,0
0,240,30421,957,1294,4154,2310,864,0
0,241,30409,958,1289,4161,2315,868,0
0,242,30405,958,1291,4159,2311,876,0
0,243,30384,958,1287,4164,2326,881,0
0,244,30365,959,1288,4172,2323,893,0
0,245,30348,959,1288,4178,2325,902,0
0,246,30361,958,1286,4177,2309,909,0
0,247,30357,956,1285,4188,2301,913,0
0,248,30344,950,1289,4207,2289,921,0
0,249,30348,946,1289,4205,2282,930,0
0,250,30352,943,1285,4204,2281,935,0
0,251,30345,944,1283,4209,2278,941,0
0,252,30320,943,1287,4211,2295,944,0
0,253,30300,942,1286,4220,2301,951,0
0,254,30302,941,1286,4220,2297,954,0
0,255,30301,939,1288,4233,2274,965,0
0,256,30275,938,1287,4241,2287,972,0
0,257,30263,939,1286,4242,2288,982,0
0,258,30251,938,1288,4244,2285,994,0
0,259,30242,938,1287,4247,2281,1005,0
0,260,30269,934,1284,4246,2253,1014,0
0,261,30255,929,1285,4246,2270,1015,0
0,262,30239,927,1285,4253,2276,1020,0
0,263,30224,930,1287,4255,2284,1020,0
0,264,30215,931,1285,4261,2284,1024,0
0,265,30221,929,1288,4274,2256,1032,0
0,266,30203,930,1289,4282,2258,1038,0
0,267,30212,931,1288,4277,2251,1041,0
0,268,30185,933,1287,4287,2261,1047,0
0,269,30191,932,1286,4297,2238,1056,0
0,270,30194,931,1288,4298,2225,1064,0
0,271,30184,929,1288,4307,2219,1073,0
0,272,30178,928,1283,4316,2213,1082,0
0,273,30170,927,1282,4327,2203,1091,0
0,274,30168,926,1282,4335,2192,1097,0
0,275,30168,926,1282,4333,2186,1105,0
0,276,30164,928,1279,4344,2167,1118,0
0,277,30143,928,1277,4351,2173,1128,0
0,278,30139,928,1272,4354,2168,1139,0
0,279,30120,927,1272,4357,2175,1149,0
0,280,30109,924,1271,4351,2189,1156,0
0,281,30073,921,1275,4358,2209,1164,0
0,282,30052,922,1276,4368,2205,1177,0
0,283,30038,921,1280,4368,2206,1187,0
0,284,30016,917,1280,4372,2216,1199,0
0,285,30019,916,1280,4378,2199,1208,0
0,286,30025,916,1278,4374,2186,1221,0
0,287,30019,919,1273,4376,2184,1229,0
0,288,30013,921,1273,4371,2192,1230,0
0,289,29991,919,1276,4370,2201,1243,0
0,290,29987,918,1274,4376,2197,1248,0
0,291,29982,918,1267,4384,2189,1260,0
0,292,29972,913,1269,4389,2185,1272,0
0,293,29966,910,1273,4392,2180,1279,0
0,294,29949,908,1273,4399,2178,1293,0
0,295,29922,907,1270,4400,2202,1299,0
0,296,29911,902,1270,4402,2206,1309,0
0,297,29914,899,1271,4392,2203,1321,0
0,298,29923,898,1272,4384,2194,1329,0
0,299,29945,898,1269,4379,2175,1334,0
0,300,29943,898,1267,4386,2156,1350,0
0,301,29931,896,1269,4386,2160,1358,0
0,302,29898,895,1268,4388,2184,1367,0
0,303,29877,896,1267,4392,2191,1377,0
0,304,29857,895,1268,4391,2197,1392,0
0,305,29862,896,1266,4395,2181,1400,0
0,306,29840,896,1268,4398,2189,1409,0
0,307,29842,894,1269,4404,2174,1417,0
0,308,29821,895,1271,4413,2170,1430,0
0,309,29816,895,1269,4411,2175,1434,0
0,310,29810,896,1267,4411,2173,1443,0
0,311,29780,894,1270,4416,2186,1454,0
0,312,29723,895,1272,4418,2229,1463,0
0,313,29718,891,1269,4429,2218,1475,0
0,314,29709,890,1271,4435,2212,1483,0
0,315,29695,886,1276,4441,2206,1496,0
0,316,29707,886,1275,4435,2193,1504,0
0,317,29715,888,1278,4431,2176,1512,0
0,318,29695,888,1274,4433,2185,1525,0
0,319,29685,887,1276,4441,2181,1530,0
0,320,29689,891,1273,4433,2175,1539,0
0,321,29681,889,1271,4443,2166,1550,0
0,322,29694,889,1268,4428,2163,1558,0
0,323,29696,890,1264,4428,2158,1564,0
0,324,29666,888,1267,4435,2170,1574,0
0,325,29647,890,1266,4441,2169,1587,0
0,326,29647,889,1266,4442,2157,1599,0
0,327,29635,887,1269,4454,2149,1606,0
0,328,29620,885,1270,4454,2153,1618,0
0,329,29591,885,1269,4467,2157,1631,0
0,330,29574,885,1270,4476,2142,1653,0
0,331,29565,885,1271,4480,2138,1661,0
0,332,29566,884,1273,4477,2131,1669,0
0,333,29554,881,1275,4490,2122,1678,0
0,334,29524,882,1278,4504,2124,1688,0
0,335,29494,882,1277,4512,2139,1696,0
0,336,29496,881,1276,4506,2128,1713,0
0,337,29494,881,1272,4510,2112,1731,0
0,338,29496,879,1269,4515,2095,1746,0
0,339,29465,878,1270,4518,2109,1760,0
0,340,29488,875,1269,4510,2087,1771,0
0,341,29483,874,1270,4509,2084,1780,0
0,342,29482,872,1268,4511,2073,1794,0
0,343,29492,872,1271,4503,2060,1802,0
0,344,29501,872,1271,4500,2048,1808,0
0,345,29498,873,1268,4497,2041,1823,0
0,346,29500,873,1265,4487,2040,1835,0
0,347,29490,874,1266,4491,2027,1852,0
0,348,29480,874,1266,4496,2030,1854,0
0,349,29468,874,1265,4500,2026,1867,0
0,350,29459,872,1263,4496,2024,1886,0
0,351,29456,873,1263,4483,2034,1891,0
0,352,29459,869,1265,4479,2022,1906,0
0,353,29434,868,1268,4491,2020,1919,0
0,354,29418,868,1269,4489,2025,1931,0
