Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,137,31304,1169,1496,3312,2104,615,0
0,138,31303,1166,1497,3309,2106,619,0
0,139,31303,1166,1498,3304,2108,621,0
0,140,31313,1168,1495,3298,2100,626,0
0,141,31313,1167,1493,3298,2096,633,0
0,142,31325,1166,1492,3296,2083,638,0
0,143,31337,1164,1491,3288,2078,642,0
0,144,31340,1162,1488,3291,2069,650,0
0,145,31343,1163,1480,3292,2068,654,0
0,146,31342,1161,1476,3294,2069,658,0
0,147,31332,1158,1476,3289,2080,665,0
0,148,31313,1157,1470,3290,2097,673,0
0,149,31325,1152,1467,3293,2082,681,0
0,150,31333,1146,1467,3294,2073,687,0
0,151,31349,1138,1467,3293,2058,695,0
0,152,31360,1135,1463,3297,2040,705,0
0,153,31360,1132,1462,3293,2044,709,0
0,154,31348,1130,1461,3292,2055,714,0
0,155,31341,1133,1454,3297,2052,723,0
0,156,31349,1132,1451,3301,2033,734,0
0,157,31344,1131,1448,3297,2043,737,0
0,158,31360,1127,1449,3297,2025,742,0
0,159,31362,1120,1449,3305,2013,751,0
0,160,31370,1120,1447,3308,2001,754,0
0,161,31367,1119,1444,3308,1999,763,0
0,162,31365,1114,1441,3310,1993,777,0
0,163,31384,1110,1441,3301,1977,787,0
0,164,31392,1108,1439,3285,1984,792,0
0,165,31400,1105,1438,3275,1982,800,0
0,166,31408,1098,1438,3279,1970,807,0
0,167,31411,1095,1434,3273,1971,816,0
0,168,31433,1094,1429,3270,1944,830,0
0,169,31427,1091,1428,3267,1952,835,0
0,170,31421,1089,1427,3263,1959,841,0
0,171,31409,1091,1420,3272,1961,847,0
0,172,31419,1091,1418,3275,1947,850,0
0,173,31425,1095,1412,3267,1943,858,0
0,174,31418,1097,1407,3266,1946,866,0
0,175,31429,1095,1406,3264,1936,870,0
0,176,31413,1097,1401,3271,1942,876,0
0,177,31396,1096,1399,3272,1955,882,0
0,178,31390,1095,1397,3277,1955,886,0
0,179,31392,1099,1390,3278,1949,892,0
0,180,31384,1099,1386,3280,1952,899,0
0,181,31383,1094,1384,3282,1948,909,0
0,182,31389,1091,1377,3284,1944,915,0
0,183,31396,1086,1376,3278,1942,922,0
0,184,31393,1082,1374,3285,1934,932,0
0,185,31404,1079,1376,3276,1926,939,0
0,186,31403,1076,1376,3276,1922,947,0
0,187,31405,1072,1375,3280,1913,955,0
0,188,31393,1070,1374,3285,1914,964,0
0,189,31402,1071,1369,3285,1903,970,0
0,190,31394,1071,1368,3283,1908,976,0
0,191,31405,1072,1363,3282,1898,980,0
0,192,31396,1073,1358,3281,1903,989,0
0,193,31400,1069,1353,3281,1896,1001,0
0,194,31406,1065,1351,3286,1885,1007,0
0,195,31405,1063,1347,3290,1880,1015,0
0,196,31415,1058,1342,3286,1873,1026,0
0,197,31415,1054,1339,3284,1868,1040,0
0,198,31430,1049,1337,3274,1862,1048,0
0,199,31426,1048,1334,3268,1868,1056,0
0,200,31431,1048,1332,3265,1860,1064,0
0,201,31377,1046,1327,3269,1909,1072,0
0,202,31380,1042,1324,3270,1902,1082,0
0,203,31379,1042,1321,3274,1894,1090,0
0,204,31362,1040,1320,3274,1902,1102,0
0,205,31366,1037,1314,3278,1897,1108,0
0,206,31361,1037,1312,3285,1886,1119,0
0,207,31348,1035,1313,3287,1888,1129,0
0,208,31357,1035,1308,3289,1874,1137,0
0,209,31363,1034,1302,3287,1867,1147,0
0,210,31356,1033,1302,3285,1872,1152,0
0,211,31359,1031,1297,3283,1866,1164,0
0,212,31366,1028,1296,3282,1852,1176,0
0,213,31366,1027,1296,3278,1845,1188,0
0,214,31365,1025,1296,3281,1832,1201,0
0,215,31364,1023,1294,3281,1833,1205,0
0,216,31365,1019,1293,3282,1829,1212,0
0,217,31370,1019,1289,3278,1823,1221,0
0,218,31353,1017,1285,3280,1839,1226,0
0,219,31356,1014,1283,3276,1839,1232,0
0,220,31340,1014,1282,3274,1850,1240,0
0,221,31314,1010,1282,3272,1868,1254,0
0,222,31318,1005,1281,3269,1865,1262,0
0,223,31326,1003,1281,3267,1850,1273,0
0,224,31323,998,1276,3269,1847,1287,0
0,225,31316,996,1274,3276,1845,1293,0
0,226,31284,996,1268,3277,1875,1300,0
0,227,31283,994,1265,3278,1866,1314,0
0,228,31292,993,1262,3285,1845,1323,0
0,229,31272,992,1257,3290,1854,1335,0
0,230,31254,990,1256,3283,1870,1347,0
0,231,31230,992,1254,3285,1883,1356,0
0,232,31224,991,1249,3288,1887,1361,0
0,233,31211,990,1248,3295,1883,1373,0
0,234,31203,988,1247,3300,1878,1384,0
0,235,31197,985,1246,3297,1889,1386,0
0,236,31183,985,1245,3299,1894,1394,0
0,237,31169,981,1245,3294,1905,1406,0
0,238,31174,976,1242,3293,1889,1426,0
0,239,31168,972,1242,3295,1882,1441,0
0,240,31166,973,1238,3297,1875,1451,0
0,241,31169,971,1234,3294,1868,1464,0
0,242,31149,971,1232,3301,1878,1469,0
0,243,31141,969,1234,3291,1885,1480,0
0,244,31139,967,1236,3288,1879,1491,0
0,245,31122,966,1235,3292,1887,1498,0
0,246,31116,964,1237,3290,1882,1511,0
0,247,31102,963,1236,3294,1884,1521,0
0,248,31077,962,1235,3299,1899,1528,0
0,249,31072,960,1233,3303,1891,1541,0
0,250,31066,958,1228,3294,1898,1556,0
0,251,31060,955,1229,3300,1884,1572,0
0,252,31029,955,1226,3307,1900,1583,0
0,253,31031,953,1224,3305,1890,1597,0
0,254,31026,952,1223,3310,1884,1605,0
0,255,31001,951,1221,3316,1898,1613,0
0,256,30980,948,1220,3327,1895,1630,0
0,257,30981,944,1218,3324,1892,1641,0
0,258,30945,945,1215,3320,1926,1649,0
0,259,30949,945,1213,3322,1912,1659,0
0,260,30908,944,1215,3327,1935,1671,0
0,261,30898,944,1216,3328,1933,1681,0
0,262,30890,944,1211,3331,1929,1695,0
0,263,30874,942,1209,3342,1920,1713,0
0,264,30881,940,1206,3337,1916,1720,0
0,265,30870,938,1205,3340,1912,1735,0
0,266,30848,937,1204,3341,1921,1749,0
0,267,30791,937,1199,3348,1952,1773,0
0,268,30785,934,1195,3344,1958,1784,0
0,269,30776,934,1193,3347,1958,1792,0
0,270,30756,935,1191,3346,1960,1812,0
0,271,30756,933,1189,3353,1941,1828,0
0,272,30718,930,1188,3355,1972,1837,0
0,273,30716,930,1187,3356,1965,1846,0
0,274,30686,928,1188,3361,1974,1863,0
0,275,30671,927,1187,3362,1974,1879,0
0,276,30647,926,1187,3365,1985,1890,0
0,277,30634,924,1185,3376,1974,1907,0
0,278,30629,922,1185,3372,1974,1918,0
0,279,30613,922,1183,3378,1966,1938,0
0,280,30593,921,1182,3385,1968,1951,0
0,281,30584,920,1183,3383,1966,1964,0
0,282,30573,921,1181,3378,1970,1977,0
0,283,30563,921,1180,3383,1964,1989,0
0,284,30540,922,1175,3390,1965,2008,0
0,285,30511,919,1172,3399,1977,2022,0
0,286,30515,916,1174,3405,1958,2032,0
0,287,30491,913,1171,3405,1972,2048,0
0,288,30467,908,1169,3405,1987,2064,0
0,289,30456,906,1168,3408,1987,2075,0
0,290,30439,904,1166,3414,1980,2097,0
0,291,30429,902,1165,3410,1990,2104,0
0,292,30434,900,1166,3409,1967,2124,0
0,293,30415,898,1166,3409,1967,2145,0
0,294,30385,896,1164,3414,1982,2159,0
0,295,30364,893,1163,3408,1994,2178,0
0,296,30332,892,1163,3410,2011,2192,0
0,297,30316,892,1161,3409,2013,2209,0
0,298,30315,893,1160,3413,2000,2219,0
0,299,30315,890,1158,3415,1988,2234,0
0,300,30305,888,1156,3419,1975,2257,0
0,301,30312,887,1153,3407,1966,2275,0
0,302,30283,887,1149,3409,1980,2292,0
0,303,30290,882,1145,3404,1972,2307,0
0,304,30283,881,1145,3405,1966,2320,0
0,305,30276,876,1143,3409,1957,2339,0
0,306,30249,876,1140,3413,1968,2354,0
0,307,30221,874,1137,3415,1973,2380,0
0,308,30225,870,1134,3412,1958,2401,0
0,309,30193,868,1134,3415,1973,2417,0
0,310,30191,867,1133,3416,1960,2433,0
0,311,30167,865,1131,3428,1961,2448,0
0,312,30157,863,1132,3430,1950,2468,0
0,313,30161,860,1131,3426,1941,2481,0
0,314,30131,860,1131,3434,1947,2497,0
0,315,30114,860,1128,3446,1936,2516,0
0,316,30078,860,1124,3446,1961,2531,0
0,317,30093,856,1124,3439,1942,2546,0
0,318,30079,856,1126,3433,1949,2557,0
0,319,30069,854,1123,3434,1950,2570,0
0,320,30053,852,1125,3427,1956,2587,0
0,321,30029,851,1123,3428,1961,2608,0
0,322,30028,851,1122,3423,1949,2627,0
0,323,30015,852,1121,3427,1945,2640,0
0,324,30003,850,1123,3421,1950,2653,0
0,325,29968,848,1123,3423,1974,2664,0
0,326,29955,848,1124,3427,1963,2683,0
0,327,29936,845,1123,3430,1963,2703,0
0,328,29902,844,1122,3435,1973,2724,0
0,329,29880,843,1116,3440,1985,2736,0
0,330,29868,839,1114,3452,1969,2758,0
0,331,29841,839,1111,3463,1963,2783,0
0,332,29815,838,1110,3470,1967,2800,0
0,333,29807,837,1110,3472,1954,2820,0
0,334,29771,835,1110,3475,1974,2835,0
0,335,29749,835,1108,3474,1984,2850,0
0,336,29735,834,1108,3481,1971,2871,0
0,337,29718,833,1107,3483,1966,2893,0
0,338,29689,834,1105,3485,1977,2910,0
0,339,29679,832,1108,3488,1961,2932,0
0,340,29653,830,1111,3488,1963,2955,0
0,341,29630,828,1109,3491,1974,2968,0
0,342,29632,827,1109,3494,1944,2994,0
0,343,29619,826,1111,3497,1932,3015,0
0,344,29607,825,1110,3502,1929,3027,0
0,345,29598,822,1109,3508,1909,3054,0
0,346,29595,822,1108,3506,1897,3072,0
0,347,29563,820,1107,3512,1912,3086,0
0,348,29565,819,1103,3521,1882,3110,0
0,349,29551,818,1105,3526,1872,3128,0
0,350,29541,817,1105,3522,1868,3147,0
0,351,29522,818,1100,3525,1865,3170,0
0,352,29472,819,1097,3533,1887,3192,0
0,353,29474,817,1099,3528,1865,3217,0
