Generation,Best Fitness,Avg Fitness,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,793927941346029.4,278802233807155.16,30768,1165,2760,2891,1996,87,333
1,528922474032718.6,195637312035492.0,30453,1264,2874,2824,2060,149,376
2,316501270380414.56,199729233808893.25,30102,1290,2972,2947,2039,208,442
3,493825334744970.9,295651061304984.5,29953,1301,2995,2955,2094,254,448
4,466152409961217.75,333584229807840.9,29664,1327,3056,2963,2134,329,527
5,736308062443373.2,391473494838915.5,29459,1376,3082,3000,2168,364,551
6,491853599707997.06,397320090258085.5,29485,1413,2996,2957,2128,426,595
7,1223557624887327.8,586165417690003.8,29057,1481,3049,3036,2194,501,682
8,1592117020364139.5,711092960955453.4,28824,1496,3114,3083,2261,529,693
9,1487877602721177.0,750025398686241.9,28685,1532,3127,3040,2284,573,759
10,1943022812670540.8,1115736183962781.4,28381,1579,3170,3101,2327,639,803
11,2322162968272884.0,1325904062195318.8,28133,1619,3191,3134,2367,705,851
12,1947995323951397.2,1373834030752367.8,27945,1656,3230,3115,2397,745,912
13,3024955948736755.5,1964613335177492.5,27786,1698,3211,3177,2410,778,940
14,4773315908191905.0,2587192419936627.0,27538,1734,3231,3193,2456,831,1017
15,4759012833946642.0,2985489905331769.0,27335,1723,3269,3215,2485,905,1068
16,8554945669402049.0,4134878229739973.0,27121,1832,3271,3240,2505,942,1089
17,1.2369168624712846e+16,4976552197187223.0,26906,1862,3320,3240,2542,1015,1115
18,1.316141407727099e+16,6922220422314894.0,26672,1893,3381,3291,2570,1032,1161
19,1.6059144949452922e+16,5994507883516859.0,26450,1941,3357,3322,2624,1100,1206
