Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,137,31095,1155,1558,3488,2224,480,0
0,138,31103,1156,1552,3496,2212,481,0
0,139,31081,1155,1552,3493,2237,482,0
0,140,31067,1154,1547,3501,2247,484,0
0,141,31066,1150,1543,3504,2248,489,0
0,142,31064,1149,1538,3509,2249,491,0
0,143,31088,1147,1532,3506,2232,495,0
0,144,31084,1149,1523,3514,2235,495,0
0,145,31075,1148,1519,3518,2241,499,0
0,146,31076,1150,1515,3527,2229,503,0
0,147,31066,1155,1511,3531,2232,505,0
0,148,31075,1156,1506,3529,2227,507,0
0,149,31064,1160,1499,3533,2233,511,0
0,150,31069,1156,1500,3539,2222,514,0
0,151,31050,1146,1500,3541,2236,527,0
0,152,31049,1143,1499,3541,2236,532,0
0,153,31046,1138,1499,3537,2242,538,0
0,154,31046,1137,1498,3538,2239,542,0
0,155,31044,1133,1495,3544,2235,549,0
0,156,31062,1132,1491,3549,2214,552,0
0,157,31066,1127,1486,3559,2203,559,0
0,158,31065,1127,1482,3560,2205,561,0
0,159,31059,1123,1484,3560,2207,567,0
0,160,31049,1122,1484,3558,2218,569,0
0,161,31048,1126,1479,3557,2211,579,0
0,162,31043,1121,1478,3562,2211,585,0
0,163,31047,1117,1477,3568,2197,594,0
0,164,31038,1117,1473,3558,2220,594,0
0,165,31031,1116,1471,3559,2224,599,0
0,166,31041,1112,1472,3557,2211,607,0
0,167,31065,1111,1469,3557,2188,610,0
0,168,31046,1111,1465,3554,2212,612,0
0,169,31026,1109,1465,3561,2221,618,0
0,170,31018,1105,1466,3568,2219,624,0
0,171,31009,1102,1462,3568,2222,637,0
0,172,31018,1100,1459,3570,2209,644,0
0,173,31010,1096,1457,3568,2220,649,0
0,174,31002,1090,1453,3568,2231,656,0
0,175,31015,1083,1450,3571,2222,659,0
0,176,30994,1081,1446,3577,2242,660,0
0,177,30997,1074,1441,3583,2233,672,0
0,178,30986,1071,1439,3579,2247,678,0
0,179,30988,1070,1434,3569,2255,684,0
0,180,30990,1067,1434,3571,2248,690,0
0,181,30980,1065,1431,3576,2253,695,0
0,182,30982,1066,1428,3579,2240,705,0
0,183,30999,1064,1425,3573,2232,707,0
0,184,31028,1060,1421,3575,2203,713,0
0,185,30996,1057,1419,3580,2233,715,0
0,186,30983,1053,1417,3587,2240,720,0
0,187,30991,1047,1415,3591,2229,727,0
0,188,30983,1045,1411,3595,2236,730,0
0,189,30968,1038,1407,3600,2253,734,0
0,190,30974,1034,1405,3599,2251,737,0
0,191,30974,1031,1407,3600,2248,740,0
0,192,30948,1029,1405,3604,2268,746,0
0,193,30934,1030,1401,3613,2268,754,0
0,194,30920,1030,1402,3621,2269,758,0
0,195,30916,1028,1397,3626,2272,761,0
0,196,30901,1027,1396,3626,2285,765,0
0,197,30904,1026,1394,3634,2272,770,0
0,198,30891,1025,1390,3649,2270,775,0
0,199,30884,1024,1388,3653,2269,782,0
0,200,30888,1021,1386,3649,2269,787,0
0,201,30883,1021,1380,3658,2266,792,0
0,202,30870,1019,1382,3661,2266,802,0
0,203,30859,1015,1381,3671,2264,810,0
0,204,30842,1010,1380,3669,2282,817,0
0,205,30840,1010,1377,3670,2284,819,0
0,206,30805,1007,1378,3673,2313,824,0
0,207,30799,1006,1376,3685,2305,829,0
0,208,30786,1004,1376,3695,2303,836,0
0,209,30791,1001,1376,3690,2304,838,0
0,210,30784,1002,1371,3697,2297,849,0
0,211,30787,1000,1372,3702,2283,856,0
0,212,30783,995,1372,3713,2272,865,0
0,213,30774,994,1368,3719,2272,873,0
0,214,30777,992,1369,3728,2257,877,0
0,215,30751,991,1370,3739,2264,885,0
0,216,30708,991,1369,3746,2299,887,0
0,217,30706,994,1362,3757,2287,894,0
0,218,30674,996,1361,3769,2301,899,0
0,219,30683,998,1360,3769,2286,904,0
0,220,30678,998,1360,3774,2281,909,0
0,221,30651,997,1358,3787,2290,917,0
0,222,30632,994,1356,3794,2302,922,0
0,223,30625,991,1355,3806,2296,927,0
0,224,30593,987,1354,3815,2316,935,0
0,225,30598,984,1356,3822,2300,940,0
0,226,30590,985,1351,3836,2295,943,0
0,227,30573,983,1349,3847,2298,950,0
0,228,30571,983,1346,3854,2291,955,0
0,229,30585,982,1345,3860,2266,962,0
0,230,30570,980,1346,3864,2276,964,0
0,231,30552,979,1345,3864,2288,972,0
0,232,30555,978,1343,3873,2272,979,0
0,233,30542,972,1344,3880,2276,986,0
0,234,30557,965,1345,3883,2257,993,0
0,235,30563,958,1344,3883,2252,1000,0
0,236,30564,954,1343,3881,2250,1008,0
0,237,30573,955,1338,3891,2230,1013,0
0,238,30583,954,1332,3897,2210,1024,0
0,239,30565,951,1330,3898,2227,1029,0
0,240,30551,951,1331,3903,2229,1035,0
0,241,30539,950,1331,3908,2230,1042,0
