Generation,Individual,Fitness,Density,Avg_Neighbors
3,16,5958,0.4908,3.9264
3,17,5783,0.494,3.952
3,18,6442,0.4744,3.7952
3,19,6446,0.4872,3.8976
3,20,5584,0.4768,3.8144
3,21,6085,0.4796,3.8368
3,22,6284,0.488,3.904
3,23,5809,0.4896,3.9168
3,24,6066,0.4868,3.8944
3,25,5819,0.492,3.936
3,26,6592,0.4716,3.7728
3,27,5981,0.5,4.0
3,28,5965,0.4936,3.9488
3,29,6338,0.4796,3.8368
3,30,5792,0.4852,3.8816
3,31,6600,0.476,3.808
3,32,6136,0.472,3.776
3,33,6070,0.4848,3.8784
3,34,6234,0.476,3.808
3,35,5612,0.4924,3.9392
3,36,6168,0.4876,3.9008
3,37,6047,0.4828,3.8624
3,38,6049,0.4976,3.9808
3,39,6657,0.4812,3.8496
3,40,6258,0.5036,4.0288
3,41,6182,0.4964,3.9712
3,42,5444,0.5096,4.0768
3,43,6229,0.4852,3.8816
3,44,6208,0.49,3.92
3,45,6033,0.4928,3.9424
3,46,6097,0.4876,3.9008
3,47,5758,0.4924,3.9392
3,48,6033,0.4836,3.8688
3,49,6576,0.47,3.76
4,0,5998,0.4872,3.8976
4,1,6377,0.4788,3.8304
4,2,6148,0.484,3.872
4,3,6250,0.4872,3.8976
4,4,6187,0.476,3.808
4,5,6350,0.486,3.888
4,6,6463,0.4904,3.9232
4,7,6004,0.4916,3.9328
4,8,6063,0.4868,3.8944
4,9,6680,0.4696,3.7568
4,10,6083,0.4816,3.8528
4,11,6186,0.482,3.856
4,12,5685,0.4984,3.9872
4,13,5536,0.488,3.904
4,14,6007,0.4932,3.9456
4,15,5948,0.508,4.064
4,16,5559,0.5072,4.0576
4,17,6413,0.4828,3.8624
4,18,6784,0.4804,3.8432
4,19,6441,0.4804,3.8432
4,20,6477,0.4708,3.7664
4,21,5716,0.4864,3.8912
4,22,6284,0.4788,3.8304
4,23,5945,0.4724,3.7792
4,24,6077,0.4856,3.8848
4,25,5794,0.494,3.952
4,26,5708,0.4788,3.8304
4,27,5926,0.5004,4.0032
4,28,6102,0.49,3.92
4,29,6025,0.492,3.936
4,30,6233,0.4756,3.8048
4,31,6552,0.4776,3.8208
4,32,6263,0.486,3.888
4,33,6154,0.48,3.84
4,34,6156,0.4832,3.8656
4,35,6395,0.4696,3.7568
4,36,6294,0.4772,3.8176
4,37,5962,0.4816,3.8528
4,38,5958,0.4864,3.8912
4,39,6299,0.48,3.84
4,40,6475,0.4792,3.8336
4,41,6071,0.4796,3.8368
4,42,6171,0.4844,3.8752
4,43,6333,0.4856,3.8848
4,44,5895,0.482,3.856
4,45,6049,0.474,3.792
4,46,5498,0.492,3.936
4,47,5232,0.4904,3.9232
4,48,5952,0.5112,4.0896
4,49,5952,0.5052,4.0416
5,0,6367,0.4748,3.7984
5,1,6498,0.474,3.792
5,2,5549,0.4792,3.8336
5,3,6031,0.4884,3.9072
5,4,6313,0.4768,3.8144
5,5,5519,0.4956,3.9648
5,6,6284,0.4888,3.9104
5,7,5909,0.4928,3.9424
5,8,6033,0.5008,4.0064
5,9,6288,0.4808,3.8464
5,10,6075,0.4884,3.9072
5,11,5820,0.4884,3.9072
5,12,6678,0.4716,3.7728
5,13,5970,0.4788,3.8304
5,14,6488,0.4876,3.9008
5,15,6076,0.4896,3.9168
5,16,5953,0.488,3.904
5,17,5864,0.47,3.76
5,18,5722,0.4776,3.8208
5,19,6305,0.4736,3.7888
5,20,5683,0.488,3.904
5,21,5785,0.4844,3.8752
5,22,6545,0.4696,3.7568
5,23,6406,0.4664,3.7312
5,24,5984,0.4772,3.8176
5,25,6671,0.472,3.776
5,26,6382,0.4804,3.8432
5,27,5869,0.5068,4.0544
5,28,6506,0.4724,3.7792
5,29,6180,0.4808,3.8464
5,30,6000,0.4796,3.8368
5,31,5921,0.4816,3.8528
5,32,6246,0.4828,3.8624
5,33,6301,0.486,3.888
5,34,6541,0.4808,3.8464
5,35,5939,0.486,3.888
5,36,5728,0.4828,3.8624
5,37,5792,0.5024,4.0192
5,38,5914,0.4888,3.9104
5,39,6403,0.4876,3.9008
5,40,6248,0.496,3.968
5,41,6921,0.4776,3.8208
5,42,6100,0.4948,3.9584
5,43,6048,0.4864,3.8912
5,44,5824,0.4812,3.8496
5,45,6235,0.4784,3.8272
5,46,5505,0.4884,3.9072
5,47,5705,0.4852,3.8816
5,48,6706,0.474,3.792
5,49,6012,0.488,3.904
6,0,6524,0.474,3.792
6,1,6511,0.482,3.856
6,2,6493,0.4784,3.8272
6,3,6495,0.4908,3.9264
6,4,6415,0.4732,3.7856
6,5,6188,0.4796,3.8368
6,6,6225,0.4844,3.8752
6,7,6021,0.4932,3.9456
6,8,6379,0.4752,3.8016
6,9,6430,0.4792,3.8336
6,10,5916,0.486,3.888
6,11,6192,0.4808,3.8464
6,12,5717,0.4972,3.9776
6,13,6400,0.4792,3.8336
6,14,6321,0.4812,3.8496
6,15,6279,0.488,3.904
6,16,6327,0.4756,3.8048
6,17,6356,0.476,3.808
6,18,6293,0.482,3.856
6,19,6252,0.4808,3.8464
6,20,6133,0.472,3.776
6,21,6133,0.4756,3.8048
6,22,6144,0.482,3.856
6,23,6104,0.4716,3.7728
6,24,6285,0.4712,3.7696
6,25,6238,0.4828,3.8624
6,26,6038,0.4828,3.8624
6,27,5680,0.492,3.936
6,28,6360,0.4824,3.8592
6,29,6166,0.4888,3.9104
6,30,5899,0.4864,3.8912
6,31,6164,0.4796,3.8368
6,32,5684,0.482,3.856
6,33,5947,0.482,3.856
6,34,5954,0.4856,3.8848
6,35,6332,0.484,3.872
6,36,6045,0.492,3.936
6,37,6469,0.4912,3.9296
6,38,6419,0.4856,3.8848
6,39,5807,0.4716,3.7728
6,40,6443,0.4748,3.7984
6,41,6202,0.476,3.808
6,42,5326,0.5032,4.0256
6,43,6021,0.4768,3.8144
6,44,5972,0.482,3.856
6,45,6140,0.4808,3.8464
6,46,6363,0.4772,3.8176
6,47,6113,0.4748,3.7984
6,48,6375,0.4836,3.8688
6,49,6279,0.4796,3.8368
7,0,6286,0.488,3.904
7,1,5837,0.4848,3.8784
7,2,5605,0.4956,3.9648
7,3,6458,0.4852,3.8816
7,4,5652,0.4888,3.9104
7,5,6261,0.4868,3.8944
7,6,6250,0.4744,3.7952
7,7,5836,0.4936,3.9488
7,8,5850,0.4936,3.9488
7,9,6043,0.4868,3.8944
7,10,6257,0.4856,3.8848
7,11,6229,0.4836,3.8688
7,12,5788,0.4948,3.9584
7,13,6423,0.484,3.872
7,14,6360,0.4912,3.9296
7,15,6068,0.488,3.904
7,16,6294,0.4836,3.8688
7,17,6657,0.4844,3.8752
7,18,5855,0.4952,3.9616
7,19,5880,0.484,3.872
7,20,5887,0.5044,4.0352
7,21,6311,0.4972,3.9776
7,22,6030,0.4816,3.8528
7,23,6641,0.478,3.824
7,24,5918,0.4764,3.8112
7,25,5543,0.5008,4.0064
7,26,6244,0.4856,3.8848
7,27,6077,0.488,3.904
7,28,6115,0.4852,3.8816
7,29,6060,0.4888,3.9104
7,30,5845,0.4764,3.8112
7,31,5821,0.4944,3.9552
7,32,6050,0.4896,3.9168
7,33,6464,0.4812,3.8496
7,34,6654,0.4712,3.7696
7,35,6401,0.4788,3.8304
7,36,6359,0.484,3.872
7,37,6227,0.4872,3.8976
7,38,6526,0.4876,3.9008
7,39,5946,0.5064,4.0512
7,40,6171,0.4712,3.7696
7,41,5276,0.4828,3.8624
7,42,6009,0.4848,3.8784
7,43,6391,0.4852,3.8816
7,44,6392,0.4808,3.8464
7,45,6311,0.478,3.824
7,46,6562,0.4708,3.7664
7,47,5990,0.4936,3.9488
7,48,6241,0.4928,3.9424
7,49,5701,0.4784,3.8272
8,0,6168,0.4864,3.8912
8,1,5818,0.492,3.936
8,2,6008,0.4952,3.9616
8,3,6020,0.4856,3.8848
8,4,5946,0.4764,3.8112
8,5,6240,0.4836,3.8688
8,6,5636,0.478,3.824
8,7,6270,0.4984,3.9872
8,8,6110,0.4808,3.8464
8,9,6115,0.4924,3.9392
8,10,5807,0.486,3.888
8,11,6103,0.4924,3.9392
8,12,6767,0.486,3.888
8,13,6271,0.4832,3.8656
8,14,5998,0.488,3.904
8,15,6673,0.4776,3.8208
8,16,6095,0.4712,3.7696
8,17,6218,0.4812,3.8496
8,18,6793,0.4788,3.8304
8,19,6039,0.4944,3.9552
8,20,6295,0.4916,3.9328
8,21,6402,0.4864,3.8912
8,22,6162,0.496,3.968
8,23,6050,0.4948,3.9584
8,24,6546,0.4844,3.8752
8,25,6290,0.4784,3.8272
8,26,5786,0.4968,3.9744
8,27,6307,0.4892,3.9136
8,28,6205,0.4704,3.7632
8,29,6054,0.4784,3.8272
8,30,6115,0.4868,3.8944
8,31,6249,0.4828,3.8624
8,32,5858,0.48,3.84
8,33,6431,0.496,3.968
8,34,5698,0.4948,3.9584
8,35,5916,0.4848,3.8784
8,36,5793,0.486,3.888
8,37,6107,0.476,3.808
8,38,6645,0.4812,3.8496
8,39,6572,0.4764,3.8112
8,40,6579,0.4812,3.8496
8,41,5727,0.4896,3.9168
8,42,6503,0.4824,3.8592
8,43,6349,0.4912,3.9296
8,44,6110,0.4724,3.7792
8,45,5878,0.4888,3.9104
8,46,6250,0.4972,3.9776
8,47,5901,0.4936,3.9488
8,48,6265,0.484,3.872
8,49,5995,0.4952,3.9616
9,0,6331,0.4884,3.9072
9,1,6331,0.4908,3.9264
9,2,6471,0.472,3.776
9,3,6163,0.4812,3.8496
9,4,6848,0.4984,3.9872
9,5,5905,0.4816,3.8528
9,6,5893,0.4912,3.9296
9,7,5772,0.4892,3.9136
9,8,6205,0.4832,3.8656
9,9,6082,0.4824,3.8592
9,10,5620,0.508,4.064
9,11,5136,0.4952,3.9616
9,12,6506,0.4812,3.8496
9,13,6332,0.4832,3.8656
9,14,6254,0.476,3.808
9,15,6189,0.4868,3.8944
9,16,6122,0.4876,3.9008
9,17,6352,0.4796,3.8368
9,18,5559,0.4952,3.9616
9,19,6245,0.4956,3.9648
9,20,6219,0.48,3.84
9,21,5942,0.4812,3.8496
9,22,5946,0.4844,3.8752
9,23,6167,0.4828,3.8624
9,24,5842,0.5004,4.0032
9,25,5740,0.4824,3.8592
9,26,6348,0.4812,3.8496
9,27,5633,0.4988,3.9904
9,28,6214,0.4824,3.8592
9,29,6314,0.4676,3.7408
9,30,6340,0.4764,3.8112
9,31,6060,0.4848,3.8784
9,32,6028,0.4864,3.8912
9,33,5556,0.484,3.872
9,34,5458,0.4992,3.9936
9,35,5874,0.5076,4.0608
9,36,6423,0.4828,3.8624
9,37,6213,0.4684,3.7472
9,38,6139,0.4864,3.8912
9,39,5758,0.492,3.936
9,40,5952,0.4764,3.8112
9,41,6116,0.4864,3.8912
9,42,6014,0.4924,3.9392
9,43,6284,0.4996,3.9968
9,44,6146,0.4936,3.9488
9,45,5575,0.4992,3.9936
9,46,5942,0.492,3.936
9,47,6336,0.4984,3.9872
9,48,6585,0.4728,3.7824
9,49,6090,0.476,3.808
10,0,6120,0.4756,3.8048
10,1,5918,0.4872,3.8976
10,2,5895,0.4936,3.9488
10,3,6602,0.4764,3.8112
10,4,6741,0.4824,3.8592
10,5,6598,0.4764,3.8112
10,6,5789,0.5004,4.0032
10,7,6311,0.4872,3.8976
10,8,6294,0.47,3.76
10,9,5991,0.4768,3.8144
